parameter,scores
0.004098,0.6690987140171285
0.008095999999999999,0.537933576019133
0.012093999999999999,0.6315768240591495
0.016092,0.7663304496725651
0.020089999999999997,0.20324257572232593
0.024088,0.20324257572232593
0.028086,0.20324257572232593
0.032084,0.6403378689182591
0.036082,0.1834725412018728
0.040080000000000005,0.1834725412018728
0.044078000000000006,0.09490233425472988
0.04807600000000001,0.1834725412018728
0.05207400000000001,0.1834725412018728
0.05607200000000001,0.3775445823130176
0.06007000000000001,0.04693825357586429
0.06406800000000001,0.04217369009832881
0.06806600000000002,0.08311020302329501
0.07206400000000002,0.0716418468858987
0.07606200000000002,0.04431022431850369
0.08006000000000002,0.04611027043199948
0.08405800000000002,0.04611027043199948
0.08805600000000002,0.04611027043199948
0.09205400000000002,0.018778330781620497
0.09605200000000003,0.018778330781620497
0.10005000000000003,0.018778330781620497
0.10404800000000003,0.018778330781620497
0.10804600000000003,0.03433124608137024
0.11204400000000003,0.03433124608137024
0.11604200000000003,0.035554895266998454
0.12004000000000004,0.035554895266998454
0.12403800000000004,0.027627745083602277
0.12803600000000004,0.027627745083602277
0.13203400000000004,0.015936601751560576
0.13603200000000004,0.015936601751560576
0.14003000000000004,0.015936601751560576
0.14402800000000004,0.015936601751560576
0.14802600000000005,0.015936601751560576
0.15202400000000005,0.015936601751560576
0.15602200000000005,0.015936601751560576
0.16002000000000005,0.015936601751560576
0.16401800000000005,0.012572300725682805
0.16801600000000005,0.02207095150916805
0.17201400000000006,0.019383118005896607
0.17601200000000006,0.019383118005896607
0.18001000000000006,0.018561371167084027
0.18400800000000006,0.018561371167084027
0.18800600000000006,0.01787495115180615
0.19200400000000006,0.01787495115180615
0.19600200000000007,0.01787495115180615
0.20000000000000007,0.01787495115180615
